Title,Product Category,Cost per item
Air Jordan 1 Retro High OG X Travis Scott Mocha,Apparel & Accessories > Shoes,950
Nike SB Dunk Low Pro Paisley Brown,Apparel & Accessories > Shoes > Sneakers,215
Nike Dunk Low Championship Goldenrod,Apparel & Accessories > Shoes,80
Nike Dunk Low Dark Marina Blue,Apparel & Accessories > Shoes,100
Air Jordan 6 Retro Olympic,Apparel & Accessories > Shoes,170
Air Jordan 1 Mid W Stealth,Apparel & Accessories > Shoes,105
Nike SB Dunk Low Electric Pack Olympic Safari,Apparel & Accessories > Shoes,135
ASICS Gel 1130 Steel Grey Pure Silver,Apparel & Accessories > Shoes,116.67
ASICS Gel-1130 Tuna Blue,Apparel & Accessories > Shoes,105
Bravest Studios Baggy Sweatpants in Washed Black,Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants,38.88
Bravest Studios Baggy Denim Jeans in Light Wash,Apparel & Accessories > Clothing > Pants > Jeans,43.2
Amiri Checkered Bones Sweatpants,Apparel & Accessories > Clothing,420
Amiri Flannel Core Logo Jeans in Aged Black,Apparel & Accessories > Clothing > Pants > Jeans,550
Amiri Serif Logo Jeans in Black,Apparel & Accessories > Clothing > Pants > Jeans,500
Amiri Tie Dye Bandana Thrasher Jeans in Clay Indigo,Apparel & Accessories > Clothing > Pants > Jeans,695
Amiri Pajama Art Patch Jeans in Light Vintage,Apparel & Accessories > Clothing > Pants > Jeans,550
Amiri Checkered Bones Hoodie in Black,Apparel & Accessories > Clothing,605.59
Amiri MX1 Leather Patch Jeans in Stone Indigo,Apparel & Accessories > Clothing,500
Amiri MX1 Plaid Patch Jeans in Dark Indigo,Apparel & Accessories > Clothing,500
Supreme Gradient Hooded Sweatshirt in Black,Apparel & Accessories > Clothing,110
Supreme Sick Tee in Black,Apparel & Accessories > Clothing,60
Supreme Washed Tag Tee in Black,Apparel & Accessories > Clothing,60
Supreme Washed Tag Tee in White,Apparel & Accessories > Clothing,60
Hellstar Sport Logo Gel T-shirt in Black / Blue,Apparel & Accessories > Clothing,200
Bravest Studios MDMA Tee in White,Apparel & Accessories > Clothing,18
Bravest Studios Battleship Tee,Apparel & Accessories > Clothing,18
Bravest Studios Baggy Cargo Pants,Apparel & Accessories > Clothing,39.6
Bravest Studios Classic Hoodie in Black,Apparel & Accessories > Clothing,21.6
Bravest Studios Classic Hoodie in Biege,Apparel & Accessories > Clothing,21.6
Bravest Studios Carbon Paisley Shorts,Apparel & Accessories > Clothing,34.56
Air Jordan 2 Retro Cement Grey,Apparel & Accessories > Shoes,80
Amiri MX1 Silk PJ Thrasher Jeans in Clay Indigo,Apparel & Accessories > Clothing,550
Amiri MX1 Camo Leather Patch Jeans in Aged Black,Apparel & Accessories > Clothing,500
Louis Vuitton Embroidered Cotton Shirt,Apparel & Accessories > Clothing > Clothing Tops > Shirts,1701.3
Louis Vuitton Damoflage Cotton Shorts in Orange,Apparel & Accessories > Clothing > Shorts,1701.3
Louis Vuitton Arabesque Silk Shirt,Apparel & Accessories > Clothing > Clothing Tops > Shirts,1968.8
Louis Vuitton LV Lovers Lasso Silk Shorts,Apparel & Accessories > Clothing > Shorts,1701.3
Louis Vuitton LV Lovers Lasso Silk Shirt,Apparel & Accessories > Clothing,1968.8
Louis Vuitton Jacquard Skate Denim Jeans,Apparel & Accessories > Clothing,2493.1
Louis Vuitton Monogram Jacquard Skate Denim Jacket,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,3531
Louis Vuitton Arabesque Embroidered Denim Jeans,Apparel & Accessories > Clothing,2493.1
Louis Vuitton Arabesque Embroidered Denim Jacket,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,3798.5
Louis Vuitton Arabesque Quilted Overcoat,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,3798.5
Louis Vuitton Damier Chambray Shirt,Apparel & Accessories > Clothing,1968.8
Louis Vuitton Damier Denim Chambray Shorts,Apparel & Accessories > Clothing,1701.3
Louis Vuitton Rodeo Cut Fringes Hoodie,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,2878.3
Louis Vuitton Embroidered Shearling Workwear Jacket in Camel,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,12091
Louis Vuitton Damier Fleece Blouson in Red,Apparel & Accessories > Clothing,2092.3
Nike SB Dunk Low Pro QS Neckface,Apparel & Accessories > Shoes,240
Air Jordan 11 Retro Low W Legend Pink,Apparel & Accessories > Shoes,190
Adidas Yeezy Boost 350 V2 Core Black White,Apparel & Accessories > Shoes,265
Nike Dunk Low Retro SE Phantom Khaki,Apparel & Accessories > Shoes,95
Air Jordan 3 Retro Green Glow,Apparel & Accessories > Shoes > Sneakers,140
"Bravest Studios ""Brown Bear"" Claw Mules",Apparel & Accessories > Shoes,50.4
Nike SB Dunk Low Classic Green,Apparel & Accessories > Shoes,112.5
Nike SB Dunk Low Pro J-Pack Chicago,Apparel & Accessories > Shoes,112.5
Air Jordan 3 Retro W Georgia Peach,Apparel & Accessories > Shoes,120
Air Jordan 1 Retro High OG TD Praline,Apparel & Accessories > Shoes,65
John Yuyi (I Knife You 1) Skate Deck,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,174.61
John Yuyi (Smoke Me 2) Skate Deck,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,174.61
John Yuyi (All You See Is Me) Skate Deck,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,174.61
"Roy Lichtenstein (Drowning Girl, 1963) Skateboard Set",Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,505.46
"Roy Lichtenstein (Varoom!, 1963) Skatedeck",Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,202.19
"Roy Lichtenstein (Girl in The Mirror, 1964) Skatedeck",Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,202.19
"Roy Lichtenstein (Happy Tears, 1964) Skate Deck",Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,202.19
Andy Warhol White Campbell's Soup Skate Deck,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboard Parts > Skateboard Decks,174.61
Louis Vuitton Montsouris Messenger Bag in Golf Green Damier,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",2839.55
Goyard Bourget PM Trolley Travel Case in Green,Luggage & Bags > Suitcases,10150.4
Goyard Goyardine Canvas St. Louis Tote in Bleu,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",1834.57
Goyard Anjou Mini Vert Bag in Green,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",2592.53
Goyard Cisalpin MM Backpack in Green,Luggage & Bags > Backpacks,4385.89
Goyard Goyardine St. Sulpice Card Holder in Brown,Office Supplies > Filing & Organization > Business Card Stands,489.52
Goyard Goyardine St. Sulpice Card Holder in Green,"Apparel & Accessories > Handbags, Wallets & Cases > Wallets & Money Clips > Wallets",489.52
"Nike SB Dunk Low ""April Skateboards""",Apparel & Accessories > Shoes,250
Louis Vuitton LV Initials 40mm Reversible Belt,Apparel & Accessories > Clothing Accessories > Belts,200
Air Jordan 6 Retro Carmine (2021),Apparel & Accessories > Shoes,160
Air Jordan 6 Retro Carmine (2021),Apparel & Accessories > Shoes,160
Air Jordan 11 Retro Low GS Space Jam,Apparel & Accessories > Shoes,150
Air Jordan 12 Retro TD Playoffs,Apparel & Accessories > Shoes > Sneakers,55
Air Jordan 1 Retro High OG True Blue,Apparel & Accessories > Shoes > Sneakers,135
Air Jordan 1 Mid GS White Sky J Purple,Apparel & Accessories > Shoes > Sneakers,80
Air Jordan 1 Low GS Sky J Purple,Apparel & Accessories > Shoes > Sneakers,65
Air Jordan 1 Mid Smoke Grey Anthracite,Apparel & Accessories > Shoes > Sneakers,85
Louis Vuitton Monogram Workwear Denim Shorts,Apparel & Accessories > Clothing,1665.3
Chrome Hearts Stencil Jeans Red / Black,Apparel & Accessories > Clothing,10000
Chrome Hearts Paper Jam Sweatshorts,Apparel & Accessories > Clothing,950
Hellstar Warm Up Shorts Brown,Apparel & Accessories > Clothing,240
ASICS Gel-1130 Burgandy Banner,Apparel & Accessories > Shoes > Sneakers,110
ASICS Gel-1130 Folder Exclusive Wild Dove White,Apparel & Accessories > Shoes,118
Hellstar Sport Logo Gel T-shirt in Black / Yellow,Apparel & Accessories > Clothing,210
Hellstar Sport Logo Gel T-shirt in Black / Purple,Apparel & Accessories > Clothing,210
Hellstar Sport Logo Gel T-shirt in Black / Pink,Apparel & Accessories > Clothing,210
Hellstar Sport Logo Gel T-shirt in Black / Orange,Apparel & Accessories > Clothing,210
Hellstar Sport Logo Gel T-shirt in Black / Neon,Apparel & Accessories > Clothing,210
Denim Tears Mono Cotton Wreath Shorts in White,Apparel & Accessories > Clothing,185
Air Jordan 11 Retro Low Snake Navy 2019,Apparel & Accessories > Shoes > Sneakers,260
Anti Social Social Club Roses Are Red Tee in Black,Apparel & Accessories > Clothing,38
Anti Social Social Club Midnight Club Tee in Black,Apparel & Accessories > Clothing,38
Anti Social Social Club Bitter Tee in White,Apparel & Accessories > Clothing,38
Anti Social Social Club Berlin Tee in Black,Apparel & Accessories > Clothing,35
Anti Social Social Club Anthropomorphic 1 Tee in Black,Apparel & Accessories > Clothing,35
Nike Dunk Low Orange Label White/Navy,Apparel & Accessories > Shoes > Sneakers,190
Nike Dunk Low GS Jackie Robinson,Apparel & Accessories > Shoes,180
Adidas Yeezy 450 Stone Grey,Apparel & Accessories > Shoes,60
New Balance 9060 TD Olivine,Apparel & Accessories > Shoes,60
Adidas Yeezy Boost 700 Hi-Res Red,Apparel & Accessories > Shoes,250
Air Jordan 9 Retro GS Powder Blue,Apparel & Accessories > Shoes,80
Air Jordan 3 Retro TD Georgia Peach,Apparel & Accessories > Shoes,55
Air Jordan 3 Retro PS Georgia Peach,Apparel & Accessories > Shoes,65
Air Jordan 8 Retro GS Winterized Gunsmoke,Apparel & Accessories > Shoes,90
Air Jordan 5 Retro GS Burgundy,Apparel & Accessories > Shoes,35
Air Jordan 1 Retro High OG W Washed Pink,Apparel & Accessories > Shoes,110
Nike Dunk Low TD Mineral Teal,Apparel & Accessories > Shoes,50
Nike Dunk Low PS Laser Fuchsia,Apparel & Accessories > Shoes,78
Nike Dunk Low TD Laser Fuchsia,Apparel & Accessories > Shoes,55
